"Usuario","CsvInicio","CsvFin","EnSistema","MatchesSistema","MatchesCuentaCompleta","IdSistema","Plataforma","Modalidad","Estado","SistemaInicio","SistemaFin","Problema"
"IvaZoeSah","2023-11-23","2026-09-01","SI","1","1","228","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-11-23","2026-09-01","OK"
"ARIELHC48","2023-11-21","2026-12-21","SI","1","1","239","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-11-21","2026-12-21","OK"
"Omarll07","2023-11-15","2026-06-15","SI","1","1","210","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-11-15","2026-06-15","OK"
"Richardo47","2023-11-10","2026-07-10","SI","1","1","218","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-11-10","2026-07-10","OK"
"Mgtvplusbo613","2024-07-02","2026-06-03","SI","1","1","138","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-07-02","2026-06-03","OK"
"Andreslr","2023-09-09","2026-05-13","SI","1","1","191","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-09-09","2026-05-13","OK"
"Vania197","2023-07-22","2026-07-22","SI","1","1","182","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-07-22","2026-07-22","OK"
"magisgt102","2023-07-03","2026-06-06","SI","1","1","207","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-07-03","2026-06-06","OK"
"EloyManjares","2023-03-20","2026-10-26","SI","1","1","169","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-03-20","2026-10-25","FECHA FIN DIFERENTE"
"Mgtvplusbo211","2023-03-02","2026-05-11","SI","1","1","147","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-03-02","2026-05-11","OK"
"Mgtvplusbo501","2022-12-19","2026-05-22","SI","1","1","165","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-12-19","2026-05-22","OK"
"Rey21","2022-12-09","2026-09-09","SI","1","1","230","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-12-09","2026-09-09","OK"
"FERNANDAGV","2022-12-13","2026-09-21","SI","1","1","234","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-12-13","2026-09-21","OK"
"DanielQ25","2022-12-05","2026-08-12","SI","1","1","223","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-12-05","2026-08-12","OK"
"Carlos282","2022-12-04","2027-02-04","SI","1","1","242","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-12-04","2027-02-04","OK"
"Irisabarca","2025-03-15","2026-05-15","SI","1","1","192","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-03-15","2026-05-15","OK"
"Dhaflujo","2025-03-07","2026-05-16","SI","1","1","194","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-03-07","2026-05-16","OK"
"Josesitos","2025-03-05","2026-05-05","SI","1","1","188","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-03-05","2026-05-05","OK"
"Carmencita85","2025-02-28","2026-04-28","SI","1","1","184","Flujo TV (Cuenta Completa)","Cuenta completa","CONTACTAR_2D","2025-02-28","2026-04-28","OK"
"Andresss43","2025-02-06","2026-06-10","SI","1","1","174","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-02-06","2026-06-10","OK"
"Severiche64","2025-01-06","2026-10-08","SI","1","1","145","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-01-06","2026-10-08","OK"
"Fbismarck","2024-12-17","2026-07-21","SI","1","1","180","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-12-17","2026-07-21","OK"
"Fjtvgh156","2024-12-14","2027-04-14","SI","1","1","245","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-12-14","2027-04-14","OK"
